"ID" "N2" "ICC" "method" "parameter" "est" "se" "ci_l" "ci_u"
5 30 0.1 "MI-a2" "gamma01" 0.547207104744217 0.203418833967707 0.126762811718233 0.967651397770201
6 60 0.1 "MI-R1" "gamma10" 0.189055848524027 0.0607723290975343 0.0654098440145994 0.312701853033454
6 60 0.1 "MI-R1" "gamma01" 0.230080164297765 0.126632844506232 -0.0201147080126662 0.480275036608196
6 60 0.1 "MI-a1" "gamma10" 0.189055848524027 0.0607723290975343 0.0648620041734489 0.313249692874605
6 60 0.1 "MI-a1" "gamma01" 0.230080164297765 0.126632844506232 -0.0275146572754176 0.487674985870948
6 60 0.1 "MI-R2" "gamma10" 0.160577671932097 0.0584718954403082 0.042461053767189 0.278694290097004
6 60 0.1 "MI-R2" "gamma01" 0.234884300096298 0.130271833962193 -0.0236428373890098 0.493411437581606
6 60 0.1 "MI-a2" "gamma10" 0.160577671932097 0.0584718954403082 0.0419923602144563 0.279162983649737
6 60 0.1 "MI-a2" "gamma01" 0.234884300096298 0.130271833962193 -0.0319992326908121 0.501767832883408
1 15 0.1 "MI-R1" "gamma10" 0.100936449615585 0.0924214429405155 -0.0821141534830393 0.28398705271421
1 15 0.1 "MI-R1" "gamma01" 0.714234143738419 0.201226137521848 0.313129385108531 1.11533890236831
1 15 0.1 "MI-a1" "gamma10" 0.100936449615585 0.0924214429405155 -0.0842770918921202 0.286149991123291
1 15 0.1 "MI-a1" "gamma01" 0.714234143738419 0.201226137521848 0.233790474010557 1.19467781346628
1 15 0.1 "MI-R2" "gamma10" 0.101584714458526 0.113537557202801 -0.129332023155887 0.332501452072939
1 15 0.1 "MI-R2" "gamma01" 0.733040312532169 0.164968514673767 0.409213919164744 1.05686670589959
1 15 0.1 "MI-a2" "gamma10" 0.101584714458526 0.113537557202801 -0.133560932973107 0.336730361890159
1 15 0.1 "MI-a2" "gamma01" 0.733040312532169 0.164968514673767 0.365640628010211 1.10043999705413
5 30 0.1 "MI-R1" "gamma10" 0.340914336544348 0.0737113692315451 0.195259809578343 0.486568863510353
5 30 0.1 "MI-R1" "gamma01" 0.315378195276148 0.236027574696505 -0.149829272839511 0.780585663391808
5 30 0.1 "MI-a1" "gamma10" 0.340914336544348 0.0737113692315451 0.194457004155962 0.487371668932734
5 30 0.1 "MI-a1" "gamma01" 0.315378195276148 0.236027574696505 -0.178600102377711 0.809356492930007
5 30 0.1 "MI-R2" "gamma10" 0.340287713214368 0.0725213618633238 0.197309793422307 0.483265633006429
5 30 0.1 "MI-R2" "gamma01" 0.27596128679222 0.238984099158139 -0.193717070607843 0.745639644192284
5 30 0.1 "MI-a2" "gamma10" 0.340287713214368 0.0725213618633238 0.196560320153998 0.484015106274738
5 30 0.1 "MI-a2" "gamma01" 0.27596128679222 0.238984099158139 -0.220486268219004 0.772408841803445
6 60 0.1 "MI-R1" "gamma10" 0.14427246709641 0.0517024278665683 0.0415663698843164 0.246978564308504
6 60 0.1 "MI-R1" "gamma01" 0.28395712127997 0.101947637865454 0.0834564996709754 0.484457742888964
6 60 0.1 "MI-a1" "gamma10" 0.14427246709641 0.0517024278665683 0.0412564623047221 0.247288471888098
6 60 0.1 "MI-a1" "gamma01" 0.28395712127997 0.101947637865454 0.07815886265791 0.489755379902029
6 60 0.1 "MI-R2" "gamma10" 0.141306157599959 0.0555300552925239 0.0299663026507869 0.252646012549131
6 60 0.1 "MI-R2" "gamma01" 0.314852112988008 0.105614156536799 0.107613164576392 0.522091061399623
6 60 0.1 "MI-a2" "gamma10" 0.141306157599959 0.0555300552925239 0.0295733979470549 0.253038917252863
6 60 0.1 "MI-a2" "gamma01" 0.314852112988008 0.105614156536799 0.102562589238238 0.527141636737777
1 15 0.1 "MI-R1" "gamma10" 0.255911030754185 0.105966611974604 0.0481320426150005 0.46369001889337
1 15 0.1 "MI-R1" "gamma01" 0.0062335551615998 0.249442526624411 -0.483011949385824 0.495479059709023
1 15 0.1 "MI-a1" "gamma10" 0.255911030754185 0.105966611974604 0.0462780398507925 0.465544021657578
1 15 0.1 "MI-a1" "gamma01" 0.0062335551615998 0.249442526624411 -0.546101066134667 0.558568176457866
1 15 0.1 "MI-R2" "gamma10" 0.287505535662884 0.125716613641317 0.0373864213548346 0.537624649970934
1 15 0.1 "MI-R2" "gamma01" -0.000447198169735731 0.247586607313254 -0.486042446410148 0.485148050070677
1 15 0.1 "MI-a2" "gamma10" 0.287505535662884 0.125716613641317 0.0341745337064008 0.540836537619368
1 15 0.1 "MI-a2" "gamma01" -0.000447198169735731 0.247586607313254 -0.548578347216657 0.547683950877186
6 60 0.1 "MI-R1" "gamma10" 0.281545234339883 0.0509752617933679 0.179525228351705 0.38356524032806
6 60 0.1 "MI-R1" "gamma01" 0.310076080808817 0.106254100135076 0.101270509680919 0.518881651936716
6 60 0.1 "MI-a1" "gamma10" 0.281545234339883 0.0509752617933679 0.179175724514495 0.38391474416527
